"drw_no";"drwt_no1";"drwt_no2";"drwt_no3";"drwt_no4";"drwt_no5";"drwt_no6";"bnus_no";"win_1_money";"win_1_count";"win_2_money";"win_2_count"
102;17;22;24;26;35;40;42;1457153067;9;91072067;24
103;5;14;15;27;30;45;10;1691589563;8;59354020;38
104;17;32;33;34;42;44;35;6610743750;2;95807881;23
105;8;10;20;34;41;45;28;3416781450;4;87609781;26
106;4;10;12;22;24;33;29;810461157;16;54030744;40
107;1;4;5;6;9;31;17;6679927800;2;63618360;35
108;7;18;22;23;29;44;12;1998900772;7;56879291;41
109;1;5;34;36;42;44;33;1246838200;12;80441175;31
110;7;20;22;23;29;43;1;4566262000;3;60082395;38
111;7;18;31;33;36;40;27;2199047450;6;43118578;51
112;26;29;30;33;41;42;43;1567271167;9;73465836;32
113;4;9;28;33;36;45;26;1561528934;9;54471940;43
114;11;14;19;26;28;41;2;2362345050;6;57618172;41
115;1;2;6;9;25;28;31;1488589567;9;65673070;34
116;2;4;25;31;34;37;17;1997747315;7;41619736;56
117;5;10;22;34;36;44;35;1558378334;9;46751350;50
118;3;4;10;17;19;22;38;1297989720;10;52763810;41
119;3;11;13;14;17;21;38;1474899400;9;45149982;49
120;4;6;10;11;32;37;30;4364530300;3;70395650;31
121;12;28;30;34;38;43;9;6839648100;2;73544604;31
122;1;11;16;17;36;40;8;1450073800;9;57239756;38
123;7;17;18;28;30;45;27;2532982680;5;55547866;38
124;4;16;23;25;29;42;1;1395936267;9;56592011;37
125;2;8;32;33;35;36;18;1754870786;7;56870813;36
126;7;20;22;27;40;43;1;1369301500;9;58684350;35
127;3;5;10;29;32;43;35;1965939150;6;45719516;43
128;12;30;34;36;37;45;39;2064043100;6;89741005;23
129;19;23;25;28;38;42;17;1093629655;11;40099754;50
130;7;19;24;27;42;45;31;3036496650;4;67477704;30
131;8;10;11;14;15;21;37;1451214488;8;58634929;33
132;3;17;23;34;41;45;43;2920473525;4;57264187;34
133;4;7;15;18;23;26;13;1450242600;8;37914840;51
134;3;12;20;23;31;35;43;2349155100;5;39152585;50
135;6;14;22;28;35;39;16;1717293515;7;71553897;28
136;2;16;30;36;41;42;11;1997694150;6;76834391;26
137;7;9;20;25;36;39;15;1270403467;9;47640130;40
138;10;11;27;28;37;39;19;2227152000;5;57998750;32
139;9;11;15;20;28;43;13;1650210215;7;68758759;28
140;3;13;17;18;19;28;8;2109462840;5;51702521;34
141;8;12;29;31;42;43;2;1900552400;6;65536290;29
142;12;16;30;34;40;44;19;1018265564;11;66672150;28
143;26;27;28;42;43;45;8;3954584700;3;56494068;35
144;4;15;17;26;36;37;43;1402440413;8;49208436;38
145;2;3;13;20;27;44;9;3797838200;3;49971556;38
146;2;19;27;35;41;42;25;6043415250;2;59249170;34
147;4;6;13;21;40;42;36;1700040215;7;56668008;35
148;21;25;33;34;35;36;17;2323596420;5;55323725;35
149;2;11;21;34;41;42;27;1639052143;7;44470407;43
150;2;18;25;28;37;39;16;2831645850;4;41038346;46
151;1;2;10;13;18;19;15;2716634025;4;40246430;45
152;1;5;13;26;29;34;43;2278131840;5;63281440;30
153;3;8;11;12;13;36;33;2730526125;4;35006746;52
154;6;19;21;35;40;45;20;2836628700;4;59096432;32
155;16;19;20;32;33;41;4;1193005734;9;48365098;37
156;5;18;28;30;42;45;2;1401099900;8;62271107;30
157;19;26;30;33;35;39;37;5484903750;2;65296474;28
158;4;9;13;18;21;34;7;1069544340;10;39612754;45
